Make,Model,,,,,,,
AMW,1618,,,,,,,
AMW,2516,,,,,,,
AMW,2518,,,,,,,
TATA,PRIMA,,,,,,,
TATA,SIGNA-2518.K,,,,,,,
TATA,SIGNA-3118.T,,,,,,,
TATA,SIGNA-4018.S,,,,,,,
TATA,SIGNA-4923.S,,,,,,,
TATA,SUPER-ACE-HT,,,,,,,
TATA,SUPER-ACE-MINT,,,,,,,
TATA,ULTRA-1012,,,,,,,
TATA,ULTRA-1014,,,,,,,
TATA,ULTRA-1518,,,,,,,
TATA,ULTRA-812,,,,,,,
TATA,ULTRA-912,,,,,,,
TATA,WINGER-CARGO,,,,,,,
TATA,WINGER-STD,,,,,,,
TATA,XENON,,,,,,,
TATA,XENON-YODHA,,,,,,,
VOLVO,FH-520,,,,,,,
VOLVO,FM-370,,,,,,,
VOLVO,FM-400,,,,,,,
VOLVO,FM-420,,,,,,,
VOLVO,FM-440,,,,,,,
VOLVO,FM-480,,,,,,,
